n,gradient_r2,gradient_axis_lat,gradient_axis_lon,raw_best_harmonic_k,raw_best_harmonic_r2,residual_best_harmonic_k,residual_best_harmonic_r2,l1_r2,l1_delta_r2,l2_r2,l2_delta_r2,l3_r2,l3_delta_r2
81,0.028006800287703748,63.35888252058267,-158.70125631938816,8,0.05176122575887376,8,0.0514848211825395,0.028006800287703748,0.028006800287703748,0.07147252796078973,0.043465727673085985,0.15620618381433482,0.08473365585354509
81,0.036216280331861084,74.5730904585898,-141.1996035079867,2,0.07330078463961853,2,0.07009541959646504,0.036216280331861084,0.036216280331861084,0.15086688114690394,0.11465060081504286,0.2660706780070162,0.11520379686011228
81,0.05001558748204005,47.72470525845172,-145.84061084720793,8,0.07116282470069057,5,0.054971922884805346,0.05001558748204005,0.05001558748204005,0.10900433736922299,0.058988749887182945,0.1822762283558952,0.0732718909866722
81,0.020494765892129507,72.7135452322184,-164.86855878220655,8,0.034121158648996563,8,0.039544495806056124,0.020494765892129507,0.020494765892129507,0.055254373722726235,0.03475960783059673,0.12422253996667565,0.06896816624394941
81,0.018802579074421732,45.32104010162382,-154.01293740315987,2,0.06039194826859573,3,0.0667495349481706,0.018802579074421732,0.018802579074421732,0.14499847603140747,0.12619589695698574,0.260368391917724,0.11536991588631651
81,0.0324492569360314,48.6275777737475,-171.40629618257972,8,0.05521575201784834,7,0.05222919778180346,0.0324492569360314,0.0324492569360314,0.10556745352654417,0.07311819659051277,0.15585152440688865,0.05028407088034448
81,0.02795181669190905,41.39072101122519,-141.74534947749675,3,0.0597774407766587,3,0.0750563962629367,0.02795181669190905,0.02795181669190905,0.08854937410823283,0.06059755741632378,0.19785605636100634,0.10930668225277351
81,0.022724698886796624,78.07421730879177,-99.61608070633812,2,0.09196659382198047,2,0.08261879840874986,0.022724698886796624,0.022724698886796624,0.15918922397268975,0.13646452508589313,0.18331511845464943,0.024125894481959675
81,0.04148610753548576,20.8014105671684,-129.22307562660419,2,0.08692280248369944,5,0.10551340771586348,0.04148610753548576,0.04148610753548576,0.13925641692698565,0.09777030939149989,0.20035121259720268,0.06109479567021703
81,0.030863513208969295,38.85763182864471,-160.68376100093374,2,0.09197459351196036,2,0.08129174749788792,0.030863513208969295,0.030863513208969295,0.1176749077588446,0.0868113945498753,0.21766293202724163,0.09998802426839704
81,0.01763424938534941,17.468185444036383,168.1216642035664,2,0.033639213270804436,2,0.03593978624888872,0.01763424938534941,0.01763424938534941,0.09704456425655805,0.07941031487120864,0.20087769993822036,0.1038331356816623
81,0.01950579768723293,71.4222816561897,178.19274862968035,8,0.060513458068358394,8,0.06298821558839873,0.01950579768723293,0.01950579768723293,0.10109243071479945,0.08158663302756652,0.16633501333872058,0.06524258262392113
81,0.017623744953894738,79.97646177626305,-94.97693292673752,2,0.053744358668361136,3,0.06365118926270286,0.017623744953894738,0.017623744953894738,0.10864888591463306,0.09102514096073833,0.1876323332689961,0.07898344735436302
81,0.036834301674855796,61.632884851018076,-135.6911422827288,2,0.06100378805621354,2,0.052120757404376605,0.036834301674855796,0.036834301674855796,0.13359884152342083,0.09676453984856503,0.21852973158017408,0.08493089005675325
81,0.021982482073112264,18.470857347915704,-135.85986794329853,3,0.052617731561757974,3,0.05371764420184255,0.021982482073112264,0.021982482073112264,0.0753290717181786,0.053346589645066333,0.16147497545815825,0.08614590373997966
81,0.020528432052963397,25.45352540847636,-167.4179544227727,2,0.05863649211216093,2,0.054335218228872884,0.020528432052963397,0.020528432052963397,0.10594988233827773,0.08542145028531434,0.20151508329139112,0.09556520095311338
81,0.031674563585489035,81.56236101879514,-155.61620053099074,2,0.11671215419832304,2,0.11934058763146738,0.031674563585489035,0.031674563585489035,0.1921869518490681,0.16051238826357905,0.3288157565848203,0.13662880473575223
81,0.004183011770247491,37.32587100149319,-158.91911330399694,8,0.047036507528280036,8,0.04605219892433421,0.004183011770247491,0.004183011770247491,0.12013043323358208,0.11594742146333459,0.21902112215729364,0.09889068892371156
81,0.025480627686731427,80.49427201913105,-170.50115819859008,2,0.03926281449482172,2,0.04116649873160072,0.025480627686731427,0.025480627686731427,0.1049036318950004,0.07942300420826898,0.21179812683490074,0.10689449493990033
81,0.03480939991580034,45.54377444399184,-148.51922968080544,2,0.06906183153425927,2,0.05991494480509618,0.03480939991580034,0.03480939991580034,0.13755399958516623,0.10274459966936589,0.2431749241057538,0.10562092452058758
81,0.015051121746313734,72.54672370872795,177.67146449601353,2,0.10951845826976325,2,0.11179329435541363,0.015051121746313734,0.015051121746313734,0.14897297843018775,0.13392185668387402,0.2629199020934678,0.11394692366328008
81,0.023596017784408785,59.086454085296545,-100.46792346049214,3,0.05319403355709962,3,0.06203646159567944,0.023596017784408785,0.023596017784408785,0.06294896567487773,0.03935294789046895,0.15633009560117095,0.09338112992629322
81,0.033931469058869235,46.30023925400686,-150.4246905664062,2,0.10226317109627892,2,0.08647624475324978,0.033931469058869235,0.033931469058869235,0.1482159701786776,0.11428450111980837,0.22491179574274778,0.07669582556407017
81,0.037260691173377825,57.39652047518024,-159.21858065917516,2,0.0787397469618405,3,0.0759452836648723,0.037260691173377825,0.037260691173377825,0.14594103969984573,0.10868034852646791,0.2012993238025027,0.055358284102656974
81,0.03920890601893434,72.56990037645399,-156.8351673705448,8,0.0535823713961503,8,0.04675645482779389,0.03920890601893434,0.03920890601893434,0.12400584235698753,0.08479693633805319,0.19075736343737415,0.06675152108038662
81,0.02246867253896656,66.14991081322715,-172.9657811757425,3,0.045765889529344794,3,0.07795889018834323,0.02246867253896656,0.02246867253896656,0.0648069615803305,0.04233828904136394,0.17682023990261986,0.11201327832228936
81,0.037217887715741416,53.59857275252671,-164.07044885153732,2,0.04115766200510329,3,0.06674442635755307,0.037217887715741416,0.037217887715741416,0.09758677807810534,0.060368890362363925,0.24827510404489495,0.1506883259667896
81,0.025331467215402803,61.111745566625025,-153.90694094218009,2,0.07632794341895621,2,0.06850812661443695,0.025331467215402803,0.025331467215402803,0.10647334542359821,0.0811418782081954,0.2426926657191597,0.1362193202955615
81,0.025438734388420148,15.311171032090485,-156.21683439490562,2,0.07990999535681986,2,0.06948130112245954,0.025438734388420148,0.025438734388420148,0.13794475731109013,0.11250602292266998,0.25600608392109214,0.11806132661000202
81,0.015391374132174729,43.554017528115196,-64.74780384224309,5,0.08116595248613423,5,0.082320968433239,0.015391374132174729,0.015391374132174729,0.1621182682915827,0.14672689415940798,0.22722858406544255,0.06511031577385984
81,0.038827363687737204,59.026982357044965,-130.82599446325162,2,0.10424079207207226,2,0.08962141460024953,0.038827363687737204,0.038827363687737204,0.18898770796184605,0.15016034427410885,0.2852277581912658,0.09624005022941973
