mode,n,l1_r2,l1_l2_r2,l2_delta_r2,residual_l2_r2,l2_norm_residual_model
global,3176,0.0016789160785000146,0.0033682290939009984,0.0016893130154009839,0.0012520975957064362,6.138922282151826
global,3176,0.0006543253496411605,0.00472500225410577,0.00407067690446461,0.002481856089242118,5.2938093418698555
global,3176,0.0018155695876158617,0.0035733071077392875,0.0017577375201234258,0.0015041478039573564,4.325293204180501
global,3176,0.0012493372144170012,0.0016560532711296094,0.00040671605671260824,0.000373933575918306,1.6569221829232559
global,3176,0.0004981157230893318,0.0021122221345476477,0.001614106411458316,0.001278317240808291,4.431631147413553
global,3176,0.0005802895653420626,0.003408086849959968,0.0028277972846179056,0.0021360064141352497,5.44918871608878
global,3176,0.00043137588734132315,0.00494647888376587,0.004515102996424547,0.0025129349643985277,7.848980442798901
global,3176,0.0024196479372634583,0.0032558860585744087,0.0008362381213109504,0.000518961156499409,2.962902580548678
global,3176,2.9020092159326438e-05,0.001041348120993879,0.0010123280288345526,0.00048118663778273785,2.355725736268382
global,3176,0.0004288439322296389,0.0043693593545121034,0.0039405154222824645,0.0023562093929679895,5.013459926493737
global,3176,0.00031470944219658126,0.0034613632948458095,0.0031466538526492283,0.0020248768567767694,4.78005549850955
global,3176,0.0004434407297205789,0.0013583830753963744,0.0009149423456757955,0.0007484423901205073,3.5510178865189546
global,3176,0.0010423936030521386,0.0014682935811696218,0.00042589997811748326,0.00041426979564140876,2.207987912070339
global,3176,1.556713970596313e-05,0.0007484746410465482,0.000732907501340585,0.00048669192815753437,2.7720021551230016
global,3176,2.9399911540162194e-05,0.00023245889002776465,0.00020305897848760246,0.00014792275776276398,1.897738140847924
global,3176,0.0022459212850182153,0.0032111202039331044,0.0009651989189148891,0.0005919177286237698,3.9321452033131825
global,3176,0.0012072102964302278,0.0015147885080104562,0.00030757821158022836,0.00019573753966573015,1.39808067696765
global,3176,0.0012459236731822143,0.002290264765390071,0.0010443410922078566,0.0009418885328327242,3.6507805306171974
global,3176,0.0006043419957123541,0.0019393762497440514,0.0013350342540316973,0.0009522552444198862,5.2821800614852785
global,3176,0.00014219013711502804,0.0013020632571035806,0.0011598731199885526,0.0010771177947646038,3.082418339502233
global,3176,0.0005301946298925664,0.002450490573440156,0.0019202959435475897,0.0012622212191987225,4.865589310910971
global,3176,0.0005214450784312152,0.0012267604462243842,0.000705315367793169,0.0004848144133905441,2.7471215585037783
global,3176,0.0017424090044946272,0.002874081174749077,0.0011316721702544497,0.0009884274017794015,3.1844231229653004
global,3176,0.00014734880748834556,0.0016207386564838222,0.0014733898489954766,0.000808017187849841,4.988489657493906
global,3176,0.00022974767938999108,0.0036378519629302053,0.0034081042835402142,0.002506207568087615,7.410225407122223
global,3176,0.0015219211859403003,0.002498219329656548,0.0009762981437162477,0.000456096775410475,2.357633814056424
global,3176,0.000939450763476124,0.0020879130444627636,0.0011484622809866396,0.0006337305216582712,3.307731095208658
global,3176,0.000795412933284001,0.002802702114881983,0.002007289181597982,0.0012975037636995257,6.651885367080016
global,3176,0.00019817254568432752,0.0015572436912895116,0.001359071145605184,0.0010203369923338368,2.5793218947960987
global,3176,0.00014866681861724906,0.0005046725037547439,0.00035600568513749486,0.0002861565539049593,2.087630643116253
global,3176,0.0009199536178154943,0.0016530744982732326,0.0007331208804577383,0.0006343774715311667,4.675448206198587
global,3176,7.052590412004456e-06,0.0010819268708744945,0.00107487428046249,0.0007289228281611715,4.24417886817215
global,3176,0.0007179114163736733,0.001166299914215796,0.00044838849784212265,0.00030612396085394344,2.7609896454849845
global,3176,0.0005859167135702226,0.0018405621891294244,0.0012546454755592018,0.0008485398616063788,3.0448079230067613
global,3176,0.0015518294594378812,0.0038262081064300846,0.0022743786469922034,0.0017595021621993334,4.006328443905567
global,3176,0.0018406907773003134,0.00461533350083454,0.0027746427235342264,0.0022342036166287382,5.623945336363603
global,3176,0.0013132532213826487,0.002486058693857651,0.0011728054724750026,0.0008916730378060178,5.144748562151011
